#{"t_start": 1701214375.3774838, "env_id": "None"}
r,l,t
-5704.65,100,66.504791
-2787.93,40,66.618486
-1481.79,40,66.745691
-5108.46,100,66.960098
-4886.5,100,67.177445
-5394.67,100,67.389726
-5697.54,100,67.60884
295.97,3,67.618784
-5789.83,100,67.844012
-5699.68,100,68.058084
-6392.15,100,68.253781
-2618.82,47,68.354879
-5702.25,100,68.599247
-6104.46,100,68.831637
-5006.06,100,69.071637
-357.69,15,69.110903
-4438.63,91,69.327607
-32.32,10,69.35584
-4990.47,100,69.596875
-5293.54,100,69.795712
-6502.48,100,70.003428
-5898.3,100,70.199413
-3388.54,63,70.323151
-1339.32,31,70.38335
-21.14,7,70.401841
-1579.47,40,70.48668
-6207.78,100,70.687787
-5610.76,100,70.8903
-6107.56,100,71.09448
-6095.23,100,71.296737
55.58,12,71.323985
-1030.41,29,71.389971
-4901.37,100,71.662388
-6191.36,100,71.91594
-5694.85,100,72.136654
-5102.99,100,72.330448
-5499.81,100,72.535761
-6002.93,100,72.727677
-6295.89,100,72.92682
-4798.35,100,73.137218
-6598.13,100,73.334634
-1762.94,36,73.419234
-5697.35,100,73.642082
-4691.85,100,73.869977
-3524.79,69,74.047722
-5489.86,100,74.252825
-5907.19,100,74.484682
-4702.52,100,74.735241
-5701.74,100,74.937841
-5490.19,100,75.156165
-2212.45,45,75.251806
-5904.99,100,75.441537
168.68,9,75.462703
-3900.35,63,75.608514
-714.59,27,75.676108
-4625.82,87,75.855374
-4291.27,82,76.019529
-5497.64,100,76.211958
-6003.7,100,76.410125
-34.28,9,76.424908
-4488.82,100,76.627526
-1878.91,41,76.705918
-5191.97,100,76.901654
-4903.65,100,77.096415
-6400.03,100,77.288824
-1237.4,30,77.353038
-5901.3,100,77.546184
-6089.99,100,77.756668
-595.83,22,77.795572
-6294.69,100,78.00897
-5001.2,100,78.260969
-5796.69,100,78.50089
-6100.18,100,78.696556
-3804.62,100,78.903999
-5798.08,100,79.107212
506.99,1,79.114069
-5504.91,100,79.339476
-4301.7,100,79.552509
-4796.52,100,79.778364
-5598.59,100,80.035701
-1553.91,34,80.109828
-5897.63,100,80.343086
-4785.46,80,80.552351
-3290.45,62,80.720811
-1532.65,30,80.790903
-6477.28,98,81.044899
-5892.97,100,81.268335
-5097.42,100,81.492076
-5705.1,100,81.702875
-602.73,24,81.764636
-5691.06,100,81.985953
-3997.38,100,82.225839
-3895.09,63,82.35828
-586.26,20,82.417719
-1152.58,35,82.502015
-6400.55,100,82.711327
-5921.12,87,82.88695
-1020.97,27,82.945298
-4988.94,100,83.157619
-6301.06,100,83.362202
398.96,3,83.363201
-5067.05,97,83.598305
-5200.43,100,83.839317
-4187.31,81,84.014508
77.84,7,84.032214
-1104.61,46,84.129608
-5195.47,100,84.348807
-5501.25,100,84.566618
-5793.69,100,84.780275
-6597.4,100,84.996786
-4160.8,75,85.164751
-5582.31,100,85.374877
-3988.69,100,85.603627
505.99,1,85.605135
-462.73,16,85.64463
-5710.57,100,85.882481
-4900.72,100,86.109473
-3141.1,52,86.218941
-5992.99,100,86.434632
-3075.1,57,86.557814
-1426.93,29,86.623069
-5898.53,100,86.841275
-4889.65,100,87.053122
-6197.65,100,87.270584
-4790.37,100,87.487155
-5705.43,100,87.699832
176.75,8,87.714708
-4705.97,100,87.916812
-344.21,11,87.934077
-1573.33,39,88.025093
-5988.38,100,88.233227
-5004.36,100,88.44651
-4194.26,100,88.656886
-1218.91,27,88.72195
-3844.7,71,88.917647
-4701.94,100,89.141901
-4896.71,100,89.41412
-2646.63,54,89.553601
-5797.36,100,89.836579
-4598.13,100,90.092998
-5185.17,100,90.313993
163.58,10,90.341195
-5898.83,100,90.575961
-4696.82,100,90.830187
-251.46,13,90.862131
-245.41,12,90.890488
-334.14,9,90.906294
-4490.77,100,91.118582
-4404.43,100,91.339757
-4045.69,73,91.487315
-4596.18,100,91.706375
-460.64,15,91.741004
173.75,8,91.75697
-2403.42,45,91.85562
-5591.68,100,92.07451
-4692.79,100,92.302708
-5103.43,100,92.517282
502.97,2,92.524399
-5904.72,100,92.743075
-4597.73,100,92.962993
-1560.01,35,93.042521
-3910.47,66,93.173589
-126.18,8,93.189296
-5256.8,94,93.390008
-1295.25,44,93.490443
-4289.23,82,93.661514
-5499.11,100,93.896539
389.86,5,93.906934
-5290.21,100,94.154206
-4690.66,100,94.405097
-23.11,7,94.429421
-4205.99,83,94.656528
-5895.81,100,94.924532
-5103.73,100,95.202615
-5399.18,100,95.585937
-3392.23,100,95.849056
-5397.07,100,96.131616
-3238.47,51,96.279957
-807.0,26,96.334213
-6195.94,100,96.577324
-5895.46,100,96.839826
-5001.06,100,97.06846
-4505.27,100,97.299369
-4101.12,100,97.542318
-2294.82,42,97.649833
-4084.35,80,97.832717
-768.67,17,97.870415
-6095.32,100,98.087438
-5809.19,100,98.314905
-6183.54,100,98.555974
-1015.71,27,98.6195
-1004.52,25,98.672252
-4985.78,100,98.917438
-2450.08,53,99.035616
-5102.12,100,99.258698
-5211.46,85,99.442067
497.94,3,99.449287
-355.49,14,99.482945
-4493.57,100,99.727123
-373.09,18,99.771258
-3423.09,67,99.933028
-656.24,14,99.969141
-6293.42,100,100.268888
498.94,3,100.281016
-1364.27,37,100.384192
-5102.46,100,100.644334
-1045.46,33,100.728648
-6503.19,100,100.992701
-5698.08,100,101.230904
-5145.69,72,101.399146
-6605.15,100,101.626615
-5600.03,100,101.84795
-1005.13,24,101.900419
-2959.24,56,102.041865
-2100.06,43,102.13723
-2606.78,46,102.249813
-5197.25,100,102.459717
-5994.01,100,102.661696
-1537.3,52,102.775404
-5900.84,100,102.977815
-5393.77,100,103.185504
-6098.4,100,103.388466
-4499.73,100,103.602403
-1649.82,34,103.672401
-4014.6,66,103.822021
-6397.57,100,104.047632
-5296.11,100,104.260189
-5295.76,100,104.474846
181.88,6,104.489627
-557.53,15,104.520975
-4497.47,100,104.745908
-4694.19,80,104.922634
-4466.27,76,105.086126
-4990.21,100,105.31085
-1408.08,25,105.359966
-249.38,12,105.385865
-1577.91,38,105.477368
-5692.94,100,105.689124
-4601.76,100,105.919665
-5592.66,100,106.16443
-5392.19,100,106.402364
-365.94,16,106.437745
-453.5,14,106.463787
-5992.44,100,106.67961
